gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000142449.8,FBN3,1.3151075077831602,0.07104411426141978,0.1884737737348905,0.20560460128220828,0.345044892188078,2.82807775323806e-34,NA,6,6,6
ENSG00000127580.11,WDR24,-1.3150429791721197,-0.2976737955788856,0.18849545841242965,0.013248807825923813,0.0211193066179112,0.00884571936129966,NA,6,7,7
ENSG00000040275.12,SPDL1,1.3150127109952074,0.1550793943597156,0.18850563059122272,0.02987061618378256,0.157433694403325,6.68020833101316e-15,NA,13,18,18
ENSG00000243244.1,STON1,-1.3145710376258857,-0.1368133223719288,0.18865410913216496,0.03694621624299296,0.0724298299220611,6.79519030690856e-07,NA,20,24,24
ENSG00000185485.10,SDHAP1,1.314199020536921,0.1348294751732658,0.18877923803648544,0.06762433274726914,0.223343353786766,2.83240317869279e-20,NA,41,51,51
ENSG00000180257.8,ZNF816,-1.3138805352934664,-0.16264958131255117,0.18888640998327677,0.03550694392580525,0.0788538582890811,2.4840915949161e-07,NA,14,14,14
ENSG00000267302.1,RP11-178C3.2,-1.313814733934471,-0.19705272090635062,0.18890855807489404,0.013656868208360163,0.0210580167828079,0.00855235809239294,NA,29,35,35
ENSG00000188906.9,LRRK2,1.3137913697944863,0.19445015134793223,0.18891642267574726,0.019451361494845054,0.0175762889521804,0.0160334973248029,NA,21,22,22
ENSG00000159337.6,PLA2G4D,1.3137007011917976,0.3091890513463462,0.18894694491138497,0.010557218688545686,0.0136862410955989,0.0328470804340963,NA,6,7,7
ENSG00000100908.9,EMC9,1.3135070332158205,0.055539377256573014,0.1890121525303452,0.201686605024677,0.171464797537616,2.84877708173031e-15,NA,102,129,129
ENSG00000151552.7,QDPR,1.3120397469572298,0.13613502860292762,0.189506723973643,0.043467200420267894,0.121443483882244,3.04323561493554e-11,NA,21,26,26
ENSG00000110925.2,CSRNP2,1.3119930580110546,0.12959708654638735,0.18952247684355472,0.03573213615484081,0.0166778693341096,0.0169905083827191,NA,27,30,30
ENSG00000102780.12,DGKH,-1.3117482798995856,-0.2763711168477822,0.18960508087249284,0.008775966095461035,0.0165829312827275,0.020571519817876,NA,13,15,15
ENSG00000138594.8,TMOD3,-1.3115556037551852,-0.1819453320650757,0.18967012097305558,0.03284154457841941,0.0120571631774561,0.047761134383827,NA,36,46,46
ENSG00000169181.8,GSG1L,1.3114900411604078,0.1564141557092866,0.18969225614695184,0.040556174357211976,0.0752120005805797,4.16974901389154e-07,NA,23,26,26
ENSG00000167775.6,CD320,1.3108594001382317,0.3116459711343635,0.1899052697191339,0.016696839906986713,0.0591033768639492,8.03054059229695e-06,NA,6,6,6
ENSG00000138641.11,HERC3,-1.310475567551082,-0.31030474847035605,0.19003500427846276,0.006477602312094185,0.0219997249717599,0.00708870379885091,NA,8,9,9
ENSG00000138449.6,SLC40A1,1.3099702411604877,0.10813892273551269,0.19020590300933327,0.08410380608013265,0.0730140933237709,5.42609849155278e-07,NA,28,34,34
ENSG00000105699.12,LSR,-1.3099323971703916,-0.13420007765546327,0.19021870620246517,0.04084485618284619,0.0990261842709717,4.35201324839305e-09,NA,7,7,7
ENSG00000163568.9,AIM2,1.3099078729978904,0.2549769141140366,0.19022700343916044,0.026630463364605048,0.0700358703410155,6.31511073054933e-07,NA,4,4,4
ENSG00000111181.8,SLC6A12,-1.3090541629543018,-0.3997394545629098,0.19051600439906125,0.00791575122102616,0.0332236710213766,0.000895497016316602,NA,3,3,3
ENSG00000271967.1,RP11-134K13.4,-1.3078286423071854,-0.18232578084515366,0.19093143695903603,0.0357345436611936,0.0352550545368042,0.000673525168598723,NA,36,44,44
ENSG00000139174.6,PRICKLE1,-1.3075868361435552,-0.17054927958476596,0.1910134842099478,0.029141343042721007,0.0308063794841787,0.00141609787028448,NA,16,19,19
ENSG00000205002.3,AARD,-1.3075571428133452,-0.143409357741653,0.19102356124262532,0.02697456741425656,0.074868235432726,5.30657535662609e-07,NA,20,24,24
ENSG00000128262.4,POM121L9P,-1.3075563078202768,-0.07388343227849024,0.19102384462008148,0.21106109953122607,0.28877333511677,1.35284186024275e-27,NA,33,35,35
ENSG00000100211.6,CBY1,1.3071199408164322,0.2726718124601912,0.19117197988500412,0.01335314861852103,0.0499493919553845,4.63753621684061e-05,NA,14,15,15
ENSG00000203871.4,C6orf164,-1.3065731029510455,-0.1279683020704054,0.19135773646219578,0.043932615743760776,0.129741886993936,3.23066760529872e-12,NA,22,25,25
ENSG00000120370.8,GORAB,-1.3065134241187009,-0.19927970116231547,0.19137801693288836,0.018349470988779825,0.0416697904677623,0.000206092471192237,NA,10,13,13
ENSG00000263280.1,LA16c-325D7.2,1.3063802360810728,0.20079565919045966,0.1914232835093821,0.03400591359850847,0.085884055568337,5.38578094892377e-08,NA,9,15,15
ENSG00000168288.8,MMADHC,1.3063719264382236,0.27292850637631,0.19142610796612858,0.011375813308508786,0.0204177932497358,0.00930558975701422,NA,8,9,9
ENSG00000242193.5,RP11-568K15.1,-1.3063350080212315,-0.15738686779541916,0.1914386569474006,0.03162147032355944,0.105350099780049,1.55520148782115e-09,NA,14,19,19
ENSG00000125651.9,GTF2F1,1.305909361882647,0.3117937655475514,0.1915833825295129,0.01069756806330149,0.0640949153258358,3.39265856069109e-06,NA,8,9,9
ENSG00000104731.9,KLHDC4,1.3042282047368734,0.062432030603605644,0.19215578598134964,0.28647336018336644,0.339224745593154,7.08287598114487e-33,NA,57,64,64
ENSG00000256060.2,TRAPPC2P1,-1.3041856529862532,-0.13376940013345007,0.19217029037751931,0.0532160446940546,0.020604434263894,0.00946418253873405,NA,54,66,66
ENSG00000169258.6,GPRIN1,-1.3041035340054647,-0.2490444556251509,0.19219828412743623,0.022114571832792668,0.0381214807726093,0.000392268608434468,NA,26,27,27
ENSG00000115841.15,RMDN2,-1.3040346624239587,-0.1976981582717143,0.1922217642490398,0.02063775930302165,0.0258521776174035,0.00329782128362594,NA,19,21,21
ENSG00000272129.1,RP11-250B2.6,-1.30385779181211,-0.18460449614506666,0.19228207372422168,0.021554758986420654,0.0419479515672462,0.000164003246347637,NA,21,24,24
ENSG00000128271.15,ADORA2A,1.3035697534088544,0.5212016843313629,0.19238031904905362,0.004620837684465926,0.0385588235405734,0.000336437353770848,NA,10,17,17
ENSG00000174839.8,DENND6A,-1.3033884119177304,-0.8705831860294426,0.19244219067775892,0.0013705235437207282,0.011861436472396,0.0490278541876811,NA,6,8,8
ENSG00000131778.13,CHD1L,1.30330439364764,0.11856638051581378,0.19247086170190153,0.09415691120202521,0.190289562987526,5.42479805235358e-17,NA,40,48,48
ENSG00000026559.9,KCNG1,-1.3030585246600952,-0.18187298669625132,0.1925547819159309,0.0193090594352349,0.0317379638905203,0.00128224689705173,NA,11,14,14
ENSG00000166532.11,RIMKLB,1.3026887157249247,0.20906156345710544,0.19268105606088914,0.02775857793558044,0.053480313409149,1.89060632652472e-05,NA,14,18,18
ENSG00000257431.1,RP11-263K4.3,1.3026195031572982,0.07212267787086289,0.1927046959911457,0.15248580986578622,0.22919582683655,4.83156642359539e-21,NA,57,68,68
ENSG00000185909.10,KLHDC8B,1.3022509194316911,0.1312258369858285,0.19283062367491433,0.027656722270384838,0.0473369544356172,7.9391079504722e-05,NA,20,30,30
ENSG00000175279.17,APITD1,1.301620620324983,0.1529795478430448,0.19304610726610671,0.030364687974900245,0.0885291282594341,3.63347712633466e-08,NA,11,15,15
ENSG00000272168.1,CASC15,1.3014364826695428,0.5155220872496052,0.1931090927300334,0.0036455794458522517,0.030658319033861,0.00151019291676333,NA,3,3,3
ENSG00000118402.5,ELOVL4,1.3011746578966468,0.31623655130456685,0.19319867756293319,0.006399101598017477,0.0440946093504956,0.00013851332207074,NA,27,35,35
ENSG00000127995.12,CASD1,-1.3007671128382463,-0.2835209499171967,0.19333818215645515,0.00652921974688966,0.0287692449658164,0.00197713945232209,NA,6,6,6
ENSG00000229391.3,HLA-DRB6,-1.299403916744492,-0.04585066879348023,0.19380534823288065,0.3109158219032879,0.671195843651567,2.21906277835319e-94,NA,39,54,54
ENSG00000267364.1,RP11-47L3.1,1.2989947767293275,0.10129399948129679,0.1939457217169286,0.049118317569917636,0.0148635051089739,0.0273211224136406,NA,39,48,48
